student_id,week,attendance_rate
S13,W02,0.852
S13,W03,0.812
S13,W04,0.885
S13,W05,0.863
S13,W06,0.848
S13,W07,0.901
S13,W08,0.870
S13,W09,0.874
S13,W10,0.909
S13,W11,0.833
S13,W12,0.816
S13,W13,0.820
S13,W14,0.820
S13,W15,0.836
S13,W16,0.863
S13,W17,0.825
S13,W18,0.837
S13,W19,0.872
S13,W20,0.870
S13,W21,0.905
S13,W22,0.860
S13,W23,0.881
S13,W24,0.871
S13,W25,0.870
S13,W26,0.861
S14,W01,0.888
S14,W02,0.908
S14,W03,0.836
S14,W04,0.895
S14,W05,0.895
S14,W06,0.862
S14,W07,0.840
S14,W08,0.882
S14,W09,0.842
S14,W10,0.900
S14,W11,0.848
S14,W12,0.856
S14,W13,0.858
S14,W14,0.864
S14,W15,0.856
S14,W16,0.825
S14,W17,0.884
S14,W18,0.906
S14,W19,0.878
S14,W20,0.820
S14,W21,0.876
S14,W22,0.871
S14,W23,0.878
S14,W24,0.835
S14,W25,0.870
S14,W26,0.822
S15,W01,0.860
S15,W02,0.875
S15,W03,0.884
S15,W04,0.880
S15,W05,0.860
S15,W06,0.863
S15,W07,0.852
S15,W08,0.858
S15,W09,0.827
S15,W10,0.814
S15,W11,0.813
S15,W12,0.890
S15,W13,0.836
S15,W14,0.850
S15,W15,0.824
S15,W16,0.892
S15,W17,0.908
S15,W18,0.897
S15,W19,0.812
S15,W20,0.885
S15,W21,0.910
S15,W22,0.817
S15,W23,0.821
S15,W24,0.847
S15,W25,0.886
S15,W26,0.826
S16,W01,0.834
S16,W02,0.859
S16,W03,0.811
S16,W04,0.842
S16,W05,0.897
S16,W06,0.826
S16,W07,0.850
S16,W08,0.848
S16,W09,0.832
S16,W10,0.860
S16,W11,0.901
S16,W12,0.868
S16,W13,0.854
S16,W14,0.865
S16,W15,0.890
S16,W16,0.846
S16,W17,0.852
S16,W18,0.883
S16,W19,0.895
S16,W20,0.847
S16,W21,0.820
S16,W22,0.904
S16,W23,0.831
S16,W24,0.902
S16,W25,0.908
S16,W26,0.853
S17,W01,0.893
S17,W02,0.854
S17,W03,0.852
S17,W04,0.817
S17,W05,0.871
S17,W06,0.814
S17,W07,0.889
S17,W08,0.854
S17,W09,0.908
S17,W10,0.835
S17,W11,0.861
S17,W12,0.823
S17,W13,0.858
S17,W14,0.862
S17,W15,0.846
S17,W16,0.909
S17,W17,0.902
S17,W18,0.823
S17,W19,0.907
S17,W20,0.893
S17,W21,0.828
S17,W22,0.841
S17,W23,0.845
S17,W24,0.856
S17,W25,0.845
S17,W26,0.835
S18,W01,0.811
S18,W02,0.841
S18,W03,0.824
S18,W04,0.892
S18,W05,0.880
S18,W06,0.877
S18,W07,0.880
S18,W08,0.824
S18,W09,0.863
S18,W10,0.902
S18,W11,0.848
S18,W12,0.838
S18,W13,0.848
S18,W14,0.862
S18,W15,0.828
S18,W16,0.813
S18,W17,0.893
S18,W18,0.857
S18,W19,0.834
S18,W20,0.906
S18,W21,0.836
S18,W22,0.823
S18,W23,0.889
S18,W24,0.847
S18,W25,0.833
S18,W26,0.878
S19,W01,0.863
S19,W02,0.881
S19,W03,0.897
S19,W04,0.882
S19,W05,0.879
S19,W06,0.872
S19,W07,0.822
S19,W08,0.872
S19,W09,0.832
S19,W10,0.823
S19,W11,0.840
S19,W12,0.907
S19,W13,0.886
S19,W14,0.882
S19,W15,0.889
S19,W16,0.827
S19,W17,0.825
S19,W18,0.815
S19,W19,0.841
S19,W20,0.894
S19,W21,0.832
S19,W22,0.841
S19,W23,0.848
S19,W24,0.871
S19,W25,0.862
S19,W26,0.850
S20,W01,0.867
S20,W02,0.861
S20,W03,0.846
S20,W04,0.845
S20,W05,0.909
S20,W06,0.834
S20,W07,0.828
S20,W08,0.860
S20,W09,0.846
S20,W10,0.841
S20,W11,0.889
S20,W12,0.824
S20,W13,0.818
S20,W14,0.840
S20,W15,0.859
S20,W16,0.836
S20,W17,0.894
S20,W18,0.842
S20,W19,0.870
S20,W20,0.859
S20,W21,0.892
S20,W22,0.839
S20,W23,0.815
S20,W24,0.835
S20,W25,0.886
S20,W26,0.869
S21,W01,0.838
S21,W02,0.836
S21,W03,0.867
S21,W04,0.908
S21,W05,0.902
S21,W06,0.816
S21,W07,0.873
S21,W08,0.839
S21,W09,0.900
S21,W10,0.898
S21,W11,0.910
S21,W12,0.838
S21,W13,0.810
S21,W14,0.892
S21,W15,0.885
S21,W16,0.848
S21,W17,0.900
S21,W18,0.835
S21,W19,0.817
S21,W20,0.818
S21,W21,0.896
S21,W22,0.853
S21,W23,0.883
S21,W24,0.878
S21,W25,0.839
S21,W26,0.884
S22,W01,0.863
S22,W02,0.840
S22,W03,0.817
S22,W04,0.877
S22,W05,0.815
S22,W06,0.901
S22,W07,0.910
S22,W08,0.908
S22,W09,0.867
S22,W10,0.851
S22,W11,0.844
S22,W12,0.882
S22,W13,0.846
S22,W14,0.827
S22,W15,0.859
S22,W16,0.843
S22,W17,0.854
S22,W18,0.864
S22,W19,0.843
S22,W20,0.852
S22,W21,0.833
S22,W22,0.849
S22,W23,0.820
S22,W24,0.846
S22,W25,0.869
S22,W26,0.884
S23,W01,0.829
S23,W02,0.830
S23,W03,0.861
S23,W04,0.891
S23,W05,0.901
S23,W06,0.845
S23,W07,0.830
S23,W08,0.837
S23,W09,0.834
S23,W10,0.863
S23,W11,0.897
S23,W12,0.893
S23,W13,0.885
S23,W14,0.816
S23,W15,0.831
S23,W16,0.847
S23,W17,0.885
S23,W18,0.894
S23,W19,0.815
S23,W20,0.905
S23,W21,0.835
S23,W22,0.877
S23,W23,0.810
S23,W24,0.869
S23,W25,0.907
S23,W26,0.871
S24,W01,0.871
S24,W02,0.837
S24,W03,0.908
S24,W04,0.840
S24,W05,0.866
S24,W06,0.818
S24,W07,0.849
S24,W08,0.847
S24,W09,0.879
S24,W10,0.896
S24,W11,0.856
S24,W12,0.865
S24,W13,0.867
S24,W14,0.831
S24,W15,0.879
S24,W16,0.889
S24,W17,0.868
S24,W18,0.850
S24,W19,0.892
S24,W20,0.864
S24,W21,0.886
S24,W22,0.812
S24,W23,0.906
S24,W24,0.906
S24,W25,0.842
S24,W26,0.839
S25,W01,0.896
S25,W02,0.868
S25,W03,0.898
S25,W04,0.856
S25,W05,0.885
S25,W06,0.880
S25,W07,0.811
S25,W08,0.853
S25,W09,0.890
S25,W10,0.851
S25,W11,0.881
S25,W12,0.828
S25,W13,0.901
S25,W14,0.829
S25,W15,0.830
S25,W16,0.869
S25,W17,0.861
S25,W18,0.861
S25,W19,0.828
S25,W20,0.890
S25,W21,0.843
S25,W22,0.832
S25,W23,0.861
S25,W24,0.882
S25,W25,0.867
S25,W26,0.841
S26,W01,0.857
S26,W02,0.906
S26,W03,0.899
S26,W04,0.883
S26,W05,0.815
S26,W06,0.828
S26,W07,0.824
S26,W08,0.825
S26,W09,0.851
S26,W10,0.829
S26,W11,0.833
S26,W12,0.867
S26,W13,0.864
S26,W14,0.891
S26,W15,0.896
S26,W16,0.894
S26,W17,0.865
S26,W18,0.860
S26,W19,0.822
S26,W20,0.882
S26,W21,0.875
S26,W22,0.824
S26,W23,0.824
S26,W24,0.892
S26,W25,0.906
S26,W26,0.859
S27,W01,0.883
S27,W02,0.889
S27,W03,0.876
S27,W04,0.850
S27,W05,0.816
S27,W06,0.878
S27,W07,0.842
S27,W08,0.857
S27,W09,0.836
S27,W10,0.816
S27,W11,0.879
S27,W12,0.823
S27,W13,0.857
S27,W14,0.903
S27,W15,0.894
S27,W16,0.869
S27,W17,0.842
S27,W18,0.857
S27,W19,0.857
S27,W20,0.848
S27,W21,0.842
S27,W22,0.872
S27,W23,0.866
S27,W24,0.811
S27,W25,0.854
S27,W26,0.812
S28,W01,0.867
S28,W02,0.890
S28,W03,0.856
S28,W04,0.856
S28,W05,0.817
S28,W06,0.818
S28,W07,0.873
S28,W08,0.892
S28,W09,0.822
S28,W10,0.816
S28,W11,0.836
S28,W12,0.875
S28,W13,0.867
S28,W14,0.852
S28,W15,0.835
S28,W16,0.810
S28,W17,0.824
S28,W18,0.815
S28,W19,0.868
S28,W20,0.820
S28,W21,0.888
S28,W22,0.897
S28,W23,0.886
S28,W24,0.877
S28,W25,0.836
S28,W26,0.897
S29,W01,0.832
S29,W02,0.865
S29,W03,0.870
S29,W04,0.828
S29,W05,0.845
S29,W06,0.880
S29,W07,0.818
S29,W08,0.867
S29,W09,0.848
S29,W10,0.870
S29,W11,0.876
S29,W12,0.887
S29,W13,0.902
S29,W14,0.869
S29,W15,0.907
S29,W16,0.825
S29,W17,0.858
S29,W18,0.886
S29,W19,0.903
S29,W20,0.824
S29,W21,0.815
S29,W22,0.871
S29,W23,0.839
S29,W24,0.896
S29,W25,0.886
S29,W26,0.855
S30,W01,0.896
S30,W02,0.824
S30,W03,0.829
S30,W04,0.832
S30,W05,0.827
S30,W06,0.907
S30,W07,0.850
S30,W08,0.884
S30,W09,0.866
S30,W10,0.871
S30,W11,0.907
S30,W12,0.902
S30,W13,0.831
S30,W14,0.858
S30,W15,0.881
S30,W16,0.856
S30,W17,0.893
S30,W18,0.834
S30,W19,0.820
S30,W20,0.857
S30,W21,0.831
S30,W22,0.906
S30,W23,0.832
S30,W24,0.874
S30,W25,0.859
S30,W26,0.863
S31,W01,0.883
S31,W02,0.901
S31,W03,0.812
S31,W04,0.836
S31,W05,0.822
S31,W06,0.837
S31,W07,0.812
S31,W08,0.907
S31,W09,0.881
S31,W10,0.823
S31,W11,0.885
S31,W12,0.821
S31,W13,0.810
S31,W14,0.872
S31,W15,0.843
S31,W16,0.881
S31,W17,0.906
S31,W18,0.859
S31,W19,0.859
S31,W20,0.859
S31,W21,0.866
S31,W22,0.892
S31,W23,0.865
S31,W24,0.833
S31,W25,0.823
S31,W26,0.883
S32,W01,0.833
S32,W02,0.894
S32,W03,0.900
S32,W04,0.895
S32,W05,0.813
S32,W06,0.876
S32,W07,0.867
S32,W08,0.837
S32,W09,0.905
S32,W10,0.836
S32,W11,0.855
S32,W12,0.878
S32,W13,0.849
S32,W14,0.868
S32,W15,0.831
S32,W16,0.834
S32,W17,0.888
S32,W18,0.883
S32,W19,0.880
S32,W20,0.885
S32,W21,0.902
S32,W22,0.829
S32,W23,0.824
S32,W24,0.863
S32,W25,0.865
S32,W26,0.815
S33,W01,0.862
S33,W02,0.835
S33,W03,0.894
S33,W04,0.909
S33,W05,0.829
S33,W06,0.820
S33,W07,0.904
S33,W08,0.854
S33,W09,0.897
S33,W10,0.862
S33,W11,0.837
S33,W12,0.820
S33,W13,0.857
S33,W14,0.825
S33,W15,0.818
S33,W16,0.898
S33,W17,0.891
S33,W18,0.860
S33,W19,0.879
S33,W20,0.842
S33,W21,0.820
S33,W22,0.868
S33,W23,0.872
S33,W24,0.840
S33,W25,0.858
S33,W26,0.887
S34,W01,0.881
S34,W02,0.882
S34,W03,0.887
S34,W04,0.856
S34,W05,0.904
S34,W06,0.834
S34,W07,0.812
S34,W08,0.898
S34,W09,0.828
S34,W10,0.826
S34,W11,0.842
S34,W12,0.828
S34,W13,0.879
S34,W14,0.894
S34,W15,0.835
S34,W16,0.887
S34,W17,0.863
S34,W18,0.843
S34,W19,0.855
S34,W20,0.880
S34,W21,0.883
S34,W22,0.835
S34,W23,0.898
S34,W24,0.849
S34,W25,0.896
S34,W26,0.814
S35,W01,0.830
S35,W02,0.860
S35,W03,0.883
S35,W04,0.890
S35,W05,0.899
S35,W06,0.850
S35,W07,0.867
S35,W08,0.845
S35,W09,0.879
S35,W10,0.830
S35,W11,0.858
S35,W12,0.872
S35,W13,0.844
S35,W14,0.874
S35,W15,0.817
S35,W16,0.891
S35,W17,0.841
S35,W18,0.907
S35,W19,0.907
S35,W20,0.894
S35,W21,0.819
S35,W22,0.845
S35,W23,0.898
S35,W24,0.854
S35,W25,0.886
S35,W26,0.829
S36,W01,0.833
S36,W02,0.906
S36,W03,0.840
S36,W04,0.898
S36,W05,0.812
S36,W06,0.821
S36,W07,0.846
S36,W08,0.909
S36,W09,0.819
S36,W10,0.865
S36,W11,0.880
S36,W12,0.873
S36,W13,0.855
S36,W14,0.866
S36,W15,0.852
S36,W16,0.873
S36,W17,0.822
S36,W18,0.844
S36,W19,0.858
S36,W20,0.816
S36,W21,0.834
S36,W22,0.859
S36,W23,0.830
S36,W24,0.821
S36,W25,0.830
S36,W26,0.840
S37,W01,0.872
S37,W02,0.861
S37,W03,0.828
S37,W04,0.824
S37,W05,0.822
S37,W06,0.847
S37,W07,0.880
S37,W08,0.894
S37,W09,0.872
S37,W10,0.887
S37,W11,0.821
S37,W12,0.899
S37,W13,0.844
S37,W14,0.868
S37,W15,0.854
S37,W16,0.872
S37,W17,0.883
S37,W18,0.816
S37,W19,0.846
S37,W20,0.875
S37,W21,0.895
S37,W22,0.905
S37,W23,0.877
S37,W24,0.882
S37,W25,0.858
S37,W26,0.898
S38,W01,0.855
S38,W02,0.870
S38,W03,0.850
S38,W04,0.847
S38,W05,0.879
S38,W06,0.841
S38,W07,0.902
S38,W08,0.818
S38,W09,0.887
S38,W10,0.819
S38,W11,0.879
S38,W12,0.828
S38,W13,0.875
S38,W14,0.885
S38,W15,0.856
S38,W16,0.884
S38,W17,0.908
S38,W18,0.815
S38,W19,0.879
S38,W20,0.831
S38,W21,0.851
S38,W22,0.832
S38,W23,0.845
S38,W24,0.876
S38,W25,0.896
S38,W26,0.858
S39,W01,0.889
S39,W02,0.890
S39,W03,0.880
S39,W04,0.840
S39,W05,0.865
S39,W06,0.872
S39,W07,0.863
S39,W08,0.891
S39,W09,0.904
S39,W10,0.821
S39,W11,0.876
S39,W12,0.879
S39,W13,0.854
S39,W14,0.812
S39,W15,0.859
S39,W16,0.834
S39,W17,0.811
S39,W18,0.841
S39,W19,0.897
S39,W20,0.880
S39,W21,0.889
S39,W22,0.815
S39,W23,0.844
S39,W24,0.877
S39,W25,0.811
S39,W26,0.840
S40,W01,0.829
S40,W02,0.822
S40,W03,0.900
S40,W04,0.847
S40,W05,0.837
S40,W06,0.881
S40,W07,0.897
S40,W08,0.861
S40,W09,0.814
S40,W10,0.861
S40,W11,0.831
S40,W12,0.842
S40,W13,0.879
S40,W14,0.875
S40,W15,0.863
S40,W16,0.824
S40,W17,0.826
S40,W18,0.852
S40,W19,0.856
S40,W20,0.898
S40,W21,0.858
S40,W22,0.833
S40,W23,0.838
S40,W24,0.850
S40,W25,0.850
S40,W26,0.812
S41,W01,0.901
S41,W02,0.836
S41,W03,0.821
S41,W04,0.841
S41,W05,0.846
S41,W06,0.864
S41,W07,0.873
S41,W08,0.883
S41,W09,0.828
S41,W10,0.818
S41,W11,0.896
S41,W12,0.881
S41,W13,0.820
S41,W14,0.904
S41,W15,0.854
S41,W16,0.860
S41,W17,0.852
S41,W18,0.885
S41,W19,0.888
S41,W20,0.821
S41,W21,0.819
S41,W22,0.850
S41,W23,0.849
S41,W24,0.894
S41,W25,0.829
S41,W26,0.818
S42,W01,0.883
S42,W02,0.878
S42,W03,0.903
S42,W04,0.814
S42,W05,0.894
S42,W06,0.848
S42,W07,0.814
S42,W08,0.869
S42,W09,0.845
S42,W10,0.812
S42,W11,0.819
S42,W12,0.863
S42,W13,0.869
S42,W14,0.891
S42,W15,0.827
S42,W16,0.821
S42,W17,0.857
S42,W18,0.896
S42,W19,0.879
S42,W20,0.901
S42,W21,0.846
S42,W22,0.860
S42,W23,0.810
S42,W24,0.825
S42,W25,0.877
S42,W26,0.864
S43,W01,0.876
S43,W02,0.876
S43,W03,0.874
S43,W04,0.876
S43,W05,0.868
S43,W06,0.854
S43,W07,0.842
S43,W08,0.896
S43,W09,0.906
S43,W10,0.874
S43,W11,0.812
S43,W12,0.821
S43,W13,0.839
S43,W14,0.905
S43,W15,0.841
S43,W16,0.843
S43,W17,0.875
S43,W18,0.866
S43,W19,0.826
S43,W20,0.874
S43,W21,0.876
S43,W22,0.859
S43,W23,0.824
S43,W24,0.853
S43,W25,0.898
S43,W26,0.883
S44,W01,0.823
S44,W02,0.897
S44,W03,0.875
S44,W04,0.838
S44,W05,0.908
S44,W06,0.832
S44,W07,0.821
S44,W08,0.829
S44,W09,0.905
S44,W10,0.874
S44,W11,0.899
S44,W12,0.819
S44,W13,0.838
S44,W14,0.855
S44,W15,0.908
S44,W16,0.894
S44,W17,0.825
S44,W18,0.861
S44,W19,0.828
S44,W20,0.895
S44,W21,0.909
S44,W22,0.883
S44,W23,0.902
S44,W24,0.831
S44,W25,0.854
S44,W26,0.826
S45,W01,0.842
S45,W02,0.843
S45,W03,0.850
S45,W04,0.856
S45,W05,0.901
S45,W06,0.855
S45,W07,0.868
S45,W08,0.901
S45,W09,0.847
S45,W10,0.823
S45,W11,0.900
S45,W12,0.909
S45,W13,0.847
S45,W14,0.858
S45,W15,0.844
S45,W16,0.863
S45,W17,0.857
S45,W18,0.901
S45,W19,0.872
S45,W20,0.891
S45,W21,0.906
S45,W22,0.841
S45,W23,0.861
S45,W24,0.816
S45,W25,0.885
S45,W26,0.861
S46,W01,0.878
S46,W02,0.875
S46,W03,0.843
S46,W04,0.862
S46,W05,0.814
S46,W06,0.871
S46,W07,0.891
S46,W08,0.834
S46,W09,0.888
S46,W10,0.830
S46,W11,0.896
S46,W12,0.830
S46,W13,0.883
S46,W14,0.839
S46,W15,0.848
S46,W16,0.819
S46,W17,0.844
S46,W18,0.835
S46,W19,0.820
S46,W20,0.827
S46,W21,0.845
S46,W22,0.817
S46,W23,0.866
S46,W24,0.871
S46,W25,0.908
S46,W26,0.877
S47,W01,0.869
S47,W02,0.835
S47,W03,0.847
S47,W04,0.899
S47,W05,0.840
S47,W06,0.874
S47,W07,0.831
S47,W08,0.857
S47,W09,0.886
S47,W10,0.863
S47,W11,0.895
S47,W12,0.819
S47,W13,0.822
S47,W14,0.905
S47,W15,0.823
S47,W16,0.869
S47,W17,0.841
S47,W18,0.848
S47,W19,0.863
S47,W20,0.856
S47,W21,0.814
S47,W22,0.855
S47,W23,0.848
S47,W24,0.883
S47,W25,0.822
S47,W26,0.903
S48,W01,0.909
S48,W02,0.830
S48,W03,0.815
S48,W04,0.868
S48,W05,0.864
S48,W06,0.884
S48,W07,0.889
S48,W08,0.880
S48,W09,0.841
S48,W10,0.885
S48,W11,0.879
S48,W12,0.830
S48,W13,0.814
S48,W14,0.869
S48,W15,0.890
S48,W16,0.895
S48,W17,0.888
S48,W18,0.886
S48,W19,0.813
S48,W20,0.893
S48,W21,0.850
S48,W22,0.895
S48,W23,0.895
S48,W24,0.845
S48,W25,0.886
S48,W26,0.855
S49,W01,0.880
S49,W02,0.833
S49,W03,0.834
S49,W04,0.829
S49,W05,0.834
S49,W06,0.906
S49,W07,0.854
S49,W08,0.870
S49,W09,0.853
S49,W10,0.812
S49,W11,0.903
S49,W12,0.896
S49,W13,0.815
S49,W14,0.826
S49,W15,0.881
S49,W16,0.897
S49,W17,0.838
S49,W18,0.889
S49,W19,0.862
S49,W20,0.870
S49,W21,0.830
S49,W22,0.903
S49,W23,0.870
S49,W24,0.849
S49,W25,0.900
S49,W26,0.827
S50,W01,0.882
S50,W02,0.870
S50,W03,0.865
S50,W04,0.900
S50,W05,0.849
S50,W06,0.833
S50,W07,0.875
S50,W08,0.838
S50,W09,0.877
S50,W10,0.864
S50,W11,0.883
S50,W12,0.872
S50,W13,0.888
S50,W14,0.826
S50,W15,0.817
S50,W16,0.815
S50,W17,0.900
S50,W18,0.881
S50,W19,0.847
S50,W20,0.824
S50,W21,0.879
S50,W22,0.833
S50,W23,0.851
S50,W24,0.875
S50,W25,0.896
S50,W26,0.873
S51,W01,0.843
S51,W02,0.847
S51,W03,0.883
S51,W04,0.840
S51,W05,0.888
S51,W06,0.858
S51,W07,0.815
S51,W08,0.896
S51,W09,0.870
S51,W10,0.851
S51,W11,0.892
S51,W12,0.878
S51,W13,0.849
S51,W14,0.881
S51,W15,0.845
S51,W16,0.863
S51,W17,0.876
S51,W18,0.816
S51,W19,0.896
S51,W20,0.888
S51,W21,0.833
S51,W22,0.887
S51,W23,0.884
S51,W24,0.874
S51,W25,0.895
S51,W26,0.813
S52,W01,0.851
S52,W02,0.846
S52,W03,0.895
S52,W04,0.897
S52,W05,0.901
S52,W06,0.840
S52,W07,0.887
S52,W08,0.816
S52,W09,0.814
S52,W10,0.903
S52,W11,0.893
S52,W12,0.838
S52,W13,0.902
S52,W14,0.824
S52,W15,0.866
S52,W16,0.873
S52,W17,0.884
S52,W18,0.908
S52,W19,0.849
S52,W20,0.832
S52,W21,0.813
S52,W22,0.845
S52,W23,0.873
S52,W24,0.903
S52,W25,0.858
S52,W26,0.893
S53,W01,0.880
S53,W02,0.875
S53,W03,0.835
S53,W04,0.847
S53,W05,0.868
S53,W06,0.866
S53,W07,0.811
S53,W08,0.882
S53,W09,0.812
S53,W10,0.900
S53,W11,0.909
S53,W12,0.810
S53,W13,0.824
S53,W14,0.882
S53,W15,0.883
S53,W16,0.898
S53,W17,0.847
S53,W18,0.903
S53,W19,0.859
S53,W20,0.867
S53,W21,0.902
S53,W22,0.894
S53,W23,0.822
S53,W24,0.899
S53,W25,0.881
S53,W26,0.830
S54,W01,0.835
S54,W02,0.899
S54,W03,0.876
S54,W04,0.811
S54,W05,0.846
S54,W06,0.830
S54,W07,0.834
S54,W08,0.872
S54,W09,0.888
S54,W10,0.845
S54,W11,0.850
S54,W12,0.812
S54,W13,0.833
S54,W14,0.869
S54,W15,0.855
S54,W16,0.849
S54,W17,0.903
S54,W18,0.854
S54,W19,0.833
