student_id,week,risk_score
S6,W22,83.6
S6,W23,84.9
S6,W24,84.6
S6,W25,84.2
S6,W26,83.3
S7,W01,88.2
S7,W02,87.6
S7,W03,88.3
S7,W04,87.4
S7,W05,87.9
S7,W06,87.6
S7,W07,87.1
S7,W08,86.3
S7,W09,87.6
S7,W10,87.5
S7,W11,87.2
S7,W12,87.4
S7,W13,86.8
S7,W14,84.8
S7,W15,86.8
S7,W16,84.8
S7,W17,85.1
S7,W18,85.4
S7,W19,86.1
S7,W20,85.6
S7,W21,83.8
S7,W22,83.6
S7,W23,84
S7,W24,84.3
S7,W25,84.9
S7,W26,84.2
S8,W01,88.5
S8,W02,89
S8,W03,86.6
S8,W04,87.8
S8,W05,88.1
S8,W06,87.4
S8,W07,87
S8,W08,86.7
S8,W09,87.2
S8,W10,87.6
S8,W11,85.8
S8,W12,86.2
S8,W13,86.6
S8,W14,84.7
S8,W15,85.9
S8,W16,85.1
S8,W17,85.7
S8,W18,85.3
S8,W19,84.6
S8,W20,86.1
S8,W21,84.5
S8,W22,83.9
S8,W23,83.9
S8,W24,85.3
S8,W25,83.3
S8,W26,82.8
S9,W01,87.4
S9,W02,87.5
S9,W03,88.4
S9,W04,87.6
S9,W05,87.3
S9,W06,88
S9,W07,87.7
S9,W08,87.5
S9,W09,87.2
S9,W10,87.3
S9,W11,87.5
S9,W12,87.3
S9,W13,86.3
S9,W14,84.9
S9,W15,86.2
S9,W16,85.5
S9,W17,84.4
S9,W18,85.2
S9,W19,83.9
S9,W20,85
S9,W21,84.7
S9,W22,84.2
S9,W23,83.4
S9,W24,83.5
S9,W25,84.4
S9,W26,83.2
S10,W01,89.1
S10,W02,87.1
S10,W03,87.5
S10,W04,88
S10,W05,88.1
S10,W06,86.8
S10,W07,86.1
S10,W08,85.8
S10,W09,85.8
S10,W10,85.8
S10,W11,86.3
S10,W12,85.7
S10,W13,86.2
S10,W14,84.8
S10,W15,86.7
S10,W16,85.9
S10,W17,84.9
S10,W18,85.5
S10,W19,84.9
S10,W20,86.1
S10,W21,85.9
S10,W22,84.5
S10,W23,84.6
S10,W24,83.8
S10,W25,84.5
S10,W26,83.6
S11,W01,87.6
S11,W02,88.9
S11,W03,86.8
S11,W04,87.5
S11,W05,87.3
S11,W06,87.4
S11,W07,86.4
S11,W08,88
S11,W09,86.9
S11,W10,86.4
S11,W11,85.5
S11,W12,86.1
S11,W13,85.4
S11,W14,85.5
S11,W15,85.6
S11,W16,86.6
S11,W17,85.3
S11,W18,84.4
S11,W19,84.9
S11,W20,85.9
S11,W21,85.9
S11,W22,84.8
S11,W23,85.3
S11,W24,85.2
S11,W25,84.2
S11,W26,83.6
S12,W01,88.4
S12,W02,87.7
S12,W03,86.8
S12,W04,87.6
S12,W05,86.3
S12,W06,87.8
S12,W07,85.9
S12,W08,85.7
S12,W09,87.7
S12,W10,86.9
S12,W11,87.6
S12,W12,85.8
S12,W13,86.9
S12,W14,86
S12,W15,85.9
S12,W16,84.9
S12,W17,86.5
S12,W18,86.3
S12,W19,85.3
S12,W20,84.1
S12,W21,85.9
S12,W22,85
S12,W23,84.9
S12,W24,83.3
S12,W25,85
S12,W26,83.5
S13,W01,87.8
S13,W02,87.8
S13,W03,87.2
S13,W04,86.6
S13,W05,87.1
S13,W06,87.6
S13,W07,87.6
S13,W08,85.9
S13,W09,86.5
S13,W10,86.3
S13,W11,86.6
S13,W12,87.1
S13,W13,85.3
S13,W14,85.8
S13,W15,85
S13,W16,85.5
S13,W17,85.4
S13,W18,85.2
S13,W19,86.3
S13,W20,85.4
S13,W21,85.4
S13,W22,85.5
S13,W23,85
S13,W24,83.2
S13,W25,84.2
S13,W26,84.8
S14,W01,87.1
S14,W02,88.9
S14,W03,87.6
S14,W04,87
S14,W05,87.3
S14,W06,87.5
S14,W07,87.9
S14,W08,86.5
S14,W09,86.4
S14,W10,87.1
S14,W11,86.3
S14,W12,85.6
S14,W13,86.5
S14,W14,86.2
S14,W15,86
S14,W16,86.4
S14,W17,84.6
S14,W18,84.5
S14,W19,84
S14,W20,85.3
S14,W21,84.4
S14,W22,83.5
S14,W23,84.2
S14,W24,83.2
S14,W25,85
S14,W26,83.9
S15,W01,88.3
S15,W02,88.6
S15,W03,87.3
S15,W04,88.1
S15,W05,87.3
S15,W06,88.1
S15,W07,86.4
S15,W08,86.7
S15,W09,87.3
S15,W10,87.6
S15,W11,86.6
S15,W12,87
S15,W13,87.2
S15,W14,86.6
S15,W15,86.1
S15,W16,86.6
S15,W17,85.2
S15,W18,84.3
S15,W19,84.6
S15,W20,85
S15,W21,84.3
S15,W22,85.7
S15,W23,83.3
S15,W24,83.2
S15,W25,83.6
S15,W26,83.1
S16,W01,88.1
S16,W02,88.1
S16,W03,88.5
S16,W04,87.2
S16,W05,86.2
S16,W06,87.6
S16,W07,87.6
S16,W08,86
S16,W09,87.9
S16,W10,87.5
S16,W11,85.4
S16,W12,86.9
S16,W13,86
S16,W14,87
S16,W15,86.3
S16,W16,85.5
S16,W17,85.3
S16,W18,85.2
S16,W19,86.2
S16,W20,85.6
S16,W21,85
S16,W22,84.3
S16,W23,85.6
S16,W24,84.6
S16,W25,83.1
S16,W26,83.9
S17,W01,87.1
S17,W02,88.6
S17,W03,86.6
S17,W04,86.8
S17,W05,87
S17,W06,86.2
S17,W07,86.7
S17,W08,88
S17,W09,86.9
S17,W10,87.7
S17,W11,85.3
S17,W12,86.4
S17,W13,85.3
S17,W14,84.7
S17,W15,86.1
S17,W16,85
S17,W17,84.9
S17,W18,84.4
S17,W19,84.8
S17,W20,86
S17,W21,85.5
S17,W22,85
S17,W23,84.2
S17,W24,84
S17,W25,83.9
S17,W26,83.4
S18,W01,88.2
S18,W02,87.4
S18,W03,88.1
S18,W04,86.6
S18,W05,88
S18,W06,86.1
S18,W07,87.5
S18,W08,86.8
S18,W09,86.5
S18,W10,85.4
S18,W11,85.8
S18,W12,86.7
S18,W13,86.1
S18,W14,86.8
S18,W15,85.5
S18,W16,86
S18,W17,84.3
S18,W18,84.5
S18,W19,84.1
S18,W20,85.1
S18,W21,85.4
S18,W22,85
S18,W23,84.9
S18,W24,85.2
S18,W25,83
S18,W26,84.8
S19,W01,88.9
S19,W02,88.6
S19,W03,88.4
S19,W04,87.3
S19,W05,88
S19,W06,88
S19,W07,87.9
S19,W08,85.9
S19,W09,86.9
S19,W10,86.6
S19,W11,86.7
S19,W12,87.2
S19,W13,85.3
S19,W14,85.1
S19,W15,86.8
S19,W16,85.9
S19,W17,85.2
S19,W18,84.7
S19,W19,84.8
S19,W20,84.2
S19,W21,84.1
S19,W22,84.3
S19,W23,83.7
S19,W24,83.9
S19,W25,83.7
S19,W26,83.3
S20,W01,86.8
S20,W02,87.8
S20,W03,86.5
S20,W04,87.1
S20,W05,87.1
S20,W06,87
S20,W07,87.7
S20,W08,86.3
S20,W09,85.8
S20,W10,85.7
S20,W11,86.9
S20,W12,87.1
S20,W13,85.9
S20,W14,84.8
S20,W15,84.6
S20,W16,86.6
S20,W17,86.5
S20,W18,85.7
S20,W19,84.7
S20,W20,84.7
S20,W21,83.7
S20,W22,83.8
S20,W23,85.3
S20,W24,83.8
S20,W25,84.3
S20,W26,84.8
S21,W01,89
S21,W02,88.4
S21,W03,87.4
S21,W04,88
S21,W05,88
S21,W06,88.3
S21,W07,86.4
S21,W08,87.1
S21,W09,87.9
S21,W10,85.6
S21,W11,85.5
S21,W12,86.8
S21,W13,86.5
S21,W14,84.9
S21,W15,86.7
S21,W16,84.5
S21,W17,84.9
S21,W18,86.4
S21,W19,84.6
S21,W20,84.8
S21,W21,84.6
S21,W22,84.7
S21,W23,85
S21,W24,84.7
S21,W25,84.4
S21,W26,84.6
S22,W01,86.9
S22,W02,87.6
S22,W03,88
S22,W04,87.9
S22,W05,87.9
S22,W06,87.5
S22,W07,87.9
S22,W08,86.2
S22,W09,86.2
S22,W10,86.3
S22,W11,86.5
S22,W12,85.8
S22,W13,86.2
S22,W14,86.5
S22,W15,85.4
S22,W16,85
S22,W17,86.1
S22,W18,85.6
S22,W19,84.4
S22,W20,83.9
S22,W21,84.8
S22,W22,84
S22,W23,85.2
S22,W24,83.2
S22,W25,83
S22,W26,84.5
S23,W01,89
S23,W02,86.7
S23,W03,88.5
S23,W04,87.8
S23,W05,87.3
S23,W06,88.4
S23,W07,86.9
S23,W08,85.9
S23,W09,85.8
S23,W10,85.7
S23,W11,87.1
S23,W12,86.3
S23,W13,85
S23,W14,85.5
S23,W15,85
S23,W16,86
S23,W17,85.1
S23,W18,85.8
S23,W19,85.9
S23,W20,85.3
S23,W21,83.8
S23,W22,85.2
S23,W23,83.5
S23,W24,85.5
S23,W25,83.8
S23,W26,84.2
S24,W01,88.9
S24,W02,88.8
S24,W03,87.4
S24,W04,87.8
S24,W05,88
S24,W06,88.3
S24,W07,87
S24,W08,85.9
S24,W09,85.8
S24,W10,86.7
S24,W11,87.5
S24,W12,86
S24,W13,85.2
S24,W14,86
S24,W15,86.2
S24,W16,84.8
S24,W17,86.4
S24,W18,86.1
S24,W19,86.2
S24,W20,84.9
S24,W21,84.6
S24,W22,85.2
S24,W23,83.8
S24,W24,83.8
S24,W25,84.2
S24,W26,84
S25,W01,88
S25,W02,87
S25,W03,86.8
S25,W04,86.7
S25,W05,87.7
S25,W06,86.1
S25,W07,87.4
S25,W08,87.3
S25,W09,86.1
S25,W10,86.9
S25,W11,86.2
S25,W12,87.2
S25,W13,85.6
S25,W14,86.7
S25,W15,86.1
S25,W16,85.4
S25,W17,84.5
S25,W18,86.2
S25,W19,85.8
S25,W20,83.9
S25,W21,84.7
S25,W22,84.7
S25,W23,84.5
S25,W24,84.7
S25,W25,83.8
S25,W26,83.1
S26,W01,87.7
S26,W02,87.8
S26,W03,87.8
S26,W04,87.6
S26,W05,87.5
S26,W06,87.9
S26,W07,87.4
S26,W08,86.8
S26,W09,86.1
S26,W10,86.6
S26,W11,85.9
S26,W12,86.6
S26,W13,86.5
S26,W14,85.4
S26,W15,86.5
S26,W16,86.6
S26,W17,85.7
S26,W18,86.1
S26,W19,84.3
S26,W20,85.3
S26,W21,85.3
S26,W22,84.9
S26,W23,85.3
S26,W24,83.5
S26,W25,84
S26,W26,85
S27,W01,87.9
S27,W02,87.4
S27,W03,88.7
S27,W04,88.6
S27,W05,86.5
S27,W06,87.7
S27,W07,87
S27,W08,87.2
S27,W09,86.5
S27,W10,86.7
S27,W11,85.8
S27,W12,85.2
S27,W13,86.4
S27,W14,85.1
S27,W15,84.6
S27,W16,85.6
S27,W17,86.6
S27,W18,85.2
S27,W19,85.7
S27,W20,85.5
S27,W21,83.6
S27,W22,85.6
S27,W23,85.3
S27,W24,84.3
S27,W25,83.1
S27,W26,83.2
S28,W01,88.9
S28,W02,86.7
S28,W03,87.2
S28,W04,86.9
S28,W05,86.5
S28,W06,86.1
S28,W07,87.3
S28,W08,86.2
S28,W09,87.1
S28,W10,87.2
S28,W11,86.2
S28,W12,87.2
S28,W13,85.1
S28,W14,85.9
S28,W15,86.4
S28,W16,85.5
S28,W17,86.4
S28,W18,85.6
S28,W19,84.6
S28,W20,84.7
S28,W21,83.8
S28,W22,85.3
S28,W23,83.8
S28,W24,84.6
S28,W25,84.6
S28,W26,83.3
S29,W01,87.9
S29,W02,88.3
S29,W03,88.1
S29,W04,88.5
S29,W05,88
S29,W06,87.9
S29,W07,87.6
S29,W08,85.8
S29,W09,87.9
S29,W10,87.1
S29,W11,86.4
S29,W12,85.5
S29,W13,86.1
S29,W14,86.9
S29,W15,86.5
S29,W16,86.5
S29,W17,85.1
S29,W18,84.8
S29,W19,84.1
S29,W20,85.7
S29,W21,84.9
S29,W22,84.4
S29,W23,83.4
S29,W24,84
S29,W25,83.8
S29,W26,83
S30,W01,87.4
S30,W02,87.8
S30,W03,87.9
S30,W04,88.4
S30,W05,86.9
S30,W06,87.4
S30,W07,86.8
S30,W08,86.9
S30,W09,86.5
S30,W10,86.7
S30,W11,86.6
S30,W12,87.3
S30,W13,86.8
S30,W14,86
S30,W15,85.2
S30,W16,86.8
S30,W17,86.3
S30,W18,84.5
S30,W19,84.2
S30,W20,84.3
S30,W21,84.4
S30,W22,84.2
S30,W23,83.5
S30,W24,85.2
S30,W25,85.3
S30,W26,84.6
S31,W01,87.4
S31,W02,88.6
S31,W03,88.7
S31,W04,87.3
S31,W05,87.7
S31,W06,87.3
S31,W07,86.5
S31,W08,86.6
S31,W09,86.3
S31,W10,86
S31,W11,85.3
S31,W12,86.2
S31,W13,85
S31,W14,85
S31,W15,86.1
S31,W16,84.8
S31,W17,85
S31,W18,84.9
S31,W19,84.7
S31,W20,84.1
S31,W21,85.3
S31,W22,85.2
S31,W23,85.3
S31,W24,85
S31,W25,83
S31,W26,84.2
S32,W01,87
S32,W02,88.8
S32,W03,88.6
S32,W04,88.1
S32,W05,87.9
S32,W06,86.2
S32,W07,86
S32,W08,87.9
S32,W09,85.8
S32,W10,87.1
S32,W11,87.5
S32,W12,85
S32,W13,86.6
S32,W14,86.9
S32,W15,86.4
S32,W16,86.6
S32,W17,85.8
S32,W18,84.2
S32,W19,86.2
S32,W20,84.2
S32,W21,84.1
S32,W22,85.5
S32,W23,83.8
S32,W24,85.3
S32,W25,83.9
S32,W26,83.4
S33,W01,88.7
S33,W02,87.3
S33,W03,86.8
S33,W04,86.3
S33,W05,87.9
S33,W06,86.4
S33,W07,87.5
S33,W08,86.9
S33,W09,86.3
S33,W10,86.9
S33,W11,87.2
S33,W12,86.7
S33,W13,86.1
S33,W14,86.1
S33,W15,85.1
S33,W16,86.4
S33,W17,84.5
S33,W18,84.4
S33,W19,86.2
S33,W20,86.1
S33,W21,84.2
S33,W22,84.1
S33,W23,83.4
S33,W24,84.4
S33,W25,84.9
S33,W26,84.3
S34,W01,87.8
S34,W02,87.8
S34,W03,88.6
S34,W04,88.2
S34,W05,88.1
S34,W06,86.9
S34,W07,86.1
S34,W08,85.8
S34,W09,85.8
S34,W10,87.3
S34,W11,86.2
S34,W12,85.3
S34,W13,85.3
S34,W14,87.1
S34,W15,86.5
S34,W16,84.5
S34,W17,85.2
S34,W18,84.5
S34,W19,86.2
S34,W20,86
S34,W21,85.3
S34,W22,84.3
S34,W23,84
S34,W24,84.2
S34,W25,83
S34,W26,85.1
S35,W01,89
S35,W02,88.6
S35,W03,87.2
S35,W04,87.4
S35,W05,86.8
S35,W06,87.1
S35,W07,87.1
S35,W08,87.1
S35,W09,86.4
S35,W10,86.8
S35,W11,86.3
S35,W12,86.2
S35,W13,86.1
S35,W14,84.8
S35,W15,86.8
S35,W16,85.2
S35,W17,84.4
S35,W18,86.4
S35,W19,84.8
S35,W20,86.1
S35,W21,85.2
S35,W22,83.5
S35,W23,83.6
S35,W24,85.4
S35,W25,83
S35,W26,83.1
S36,W01,88.7
S36,W02,86.7
S36,W03,88.4
S36,W04,87.5
S36,W05,87.4
S36,W06,87.5
S36,W07,87
S36,W08,87.2
S36,W09,86.2
S36,W10,87.5
S36,W11,85.8
S36,W12,86.5
S36,W13,87
S36,W14,86.3
S36,W15,86.6
S36,W16,84.4
S36,W17,85.9
S36,W18,84.7
S36,W19,84.9
S36,W20,85.2
S36,W21,83.9
S36,W22,85.2
S36,W23,83.7
S36,W24,85.5
S36,W25,83.5
S36,W26,84.4
S37,W01,88
S37,W02,87.5
S37,W03,88.5
S37,W04,88.1
S37,W05,87
S37,W06,88.4
S37,W07,86.6
S37,W08,86.1
S37,W09,86.1
S37,W10,85.8
S37,W11,85.9
S37,W12,85.9
S37,W13,87.1
S37,W14,86.3
S37,W15,85.1
S37,W16,86.4
S37,W17,84.7
S37,W18,86
S37,W19,85.8
S37,W20,85.2
S37,W21,85.1
S37,W22,84.6
S37,W23,84.6
S37,W24,83.6
S37,W25,83.4
S37,W26,83.8
S38,W01,88.4
S38,W02,89
S38,W03,88.7
S38,W04,86.7
S38,W05,87.1
S38,W06,86.7
S38,W07,86.1
S38,W08,87.3
S38,W09,86.1
S38,W10,85.6
S38,W11,87.5
S38,W12,87.2
S38,W13,87
S38,W14,86.6
S38,W15,85.8
S38,W16,85.5
S38,W17,85.7
S38,W18,85.5
S38,W19,84.3
S38,W20,84.7
S38,W21,85.5
S38,W22,83.9
S38,W23,84.6
S38,W24,83.5
S38,W25,83.3
S38,W26,83.4
S39,W01,88
S39,W02,88.6
S39,W03,87.9
S39,W04,87.5
S39,W05,87
S39,W06,87.5
S39,W07,87.7
S39,W08,87.7
S39,W09,87.7
S39,W10,86.6
S39,W11,85.5
S39,W12,86.9
S39,W13,85.2
S39,W14,86.1
S39,W15,85.2
S39,W16,86.6
S39,W17,85.6
S39,W18,86.2
S39,W19,85.7
S39,W20,83.8
S39,W21,84.9
S39,W22,84.1
S39,W23,84.9
S39,W24,85
S39,W25,83.6
S39,W26,85
S40,W01,87.4
S40,W02,87.4
S40,W03,87.2
S40,W04,87.4
S40,W05,86.9
S40,W06,86.4
S40,W07,86.3
S40,W08,86.3
S40,W09,87.8
S40,W10,86
S40,W11,86.6
S40,W12,85.6
S40,W13,86.6
S40,W14,85.1
S40,W15,86.4
S40,W16,85.7
S40,W17,84.5
S40,W18,84.4
S40,W19,85.7
S40,W20,85
S40,W21,85.1
S40,W22,84.6
S40,W23,84.9
S40,W24,85.5
S40,W25,84
S40,W26,84.3
S41,W01,88.5
S41,W02,88.6
S41,W03,87.4
S41,W04,88.3
S41,W05,87.3
S41,W06,87.6
S41,W07,87.7
S41,W08,86.2
S41,W09,86.9
S41,W10,87
S41,W11,85.7
S41,W12,86.5
S41,W13,85.6
S41,W14,84.8
S41,W15,85.4
S41,W16,85.3
S41,W17,84.7
S41,W18,84.8
S41,W19,84.6
S41,W20,84.8
S41,W21,84.6
S41,W22,84.9
S41,W23,84.8
S41,W24,84
S41,W25,85.1
S41,W26,83
S42,W01,88
S42,W02,87.3
S42,W03,88.4
S42,W04,86.5
S42,W05,87.6
S42,W06,87.9
S42,W07,87.8
S42,W08,85.8
S42,W09,85.8
S42,W10,85.9
S42,W11,85.6
S42,W12,86.7
S42,W13,85.8
S42,W14,84.8
S42,W15,85.5
S42,W16,85.2
S42,W17,84.4
S42,W18,86.2
S42,W19,85.9
S42,W20,84.2
S42,W21,85
S42,W22,83.7
S42,W23,85
S42,W24,83.4
S42,W25,83.8
S42,W26,83.9
S43,W01,88.9
S43,W02,88
S43,W03,87.8
S43,W04,86.7
S43,W05,86.7
S43,W06,86.2
S43,W07,86.7
S43,W08,86.8
S43,W09,87
S43,W10,85.7
S43,W11,87
S43,W12,86.2
S43,W13,85.1
S43,W14,86.5
S43,W15,85.1
S43,W16,85.3
S43,W17,85.9
S43,W18,84.4
S43,W19,85.8
S43,W20,85.7
S43,W21,84.6
S43,W22,84.2
S43,W23,83.5
S43,W24,84.8
S43,W25,84.9
S43,W26,84.7
S44,W01,88.5
S44,W02,86.7
S44,W03,86.5
S44,W04,86.8
S44,W05,87.8
S44,W06,86.6
S44,W07,86.1
S44,W08,87.7
S44,W09,87
S44,W10,86
S44,W11,87.5
S44,W12,86.4
S44,W13,86.4
S44,W14,85
S44,W15,85.9
S44,W16,86.4
S44,W17,86.5
S44,W18,84.8
S44,W19,85.1
S44,W20,84.1
S44,W21,84.6
S44,W22,85.7
S44,W23,83.5
S44,W24,84.3
S44,W25,84.9
S44,W26,84.4
S45,W01,87.8
S45,W02,89
S45,W03,88.3
S45,W04,87
S45,W05,86.2
S45,W06,88.1
S45,W07,86.3
S45,W08,86.1
S45,W09,86.8
S45,W10,86.2
S45,W11,86.4
S45,W12,85.1
S45,W13,86.4
S45,W14,85
S45,W15,85.4
S45,W16,86.3
S45,W17,85.1
S45,W18,85.4
S45,W19,85.5
S45,W20,83.8
S45,W21,84.5
S45,W22,84
S45,W23,84.1
S45,W24,83.5
S45,W25,83.4
S45,W26,83.1
S46,W01,87.2
S46,W02,88.8
S46,W03,87.6
S46,W04,87.1
S46,W05,87.6
S46,W06,87.9
S46,W07,86.1
S46,W08,87.1
S46,W09,87.2
S46,W10,86.8
S46,W11,86.4
S46,W12,85.9
S46,W13,86.7
S46,W14,85.7
S46,W15,86.4
S46,W16,85.9
S46,W17,85.5
S46,W18,85
S46,W19,84.1
S46,W20,85.2
S46,W21,85.8
S46,W22,83.5
S46,W23,83.9
S46,W24,83.7
S46,W25,84.1
S46,W26,84.7
S47,W01,86.9
S47,W02,86.9
S47,W03,87.2
S47,W04,88.2
S47,W05,86.2
S47,W06,87.1
S47,W07,86.6
S47,W08,88.1
S47,W09,87.2
S47,W10,86.6
S47,W11,86.5
S47,W12,86.3
S47,W13,84.9
S47,W14,87
S47,W15,86.2
S47,W16,85.3
S47,W17,86.1
S47,W18,84.2
S47,W19,85
S47,W20,84.5
S47,W21,85
S47,W22,83.7
S47,W23,83.6
S47,W24,85.3
S47,W25,83.2
S47,W26,84.9
S48,W01,87.6
S48,W02,87.5
S48,W03,86.8
S48,W04,86.5
S48,W05,88
S48,W06,86.2
S48,W07,85.9
S48,W08,86.9
S48,W09,86.5
S48,W10,85.7
S48,W11,87.3
S48,W12,85.2
S48,W13,87.1
S48,W14,85.6
S48,W15,86
S48,W16,86.1
S48,W17,86.1
S48,W18,86.1
S48,W19,84.3
S48,W20,85
S48,W21,84.9
S48,W22,83.6
S48,W23,83.5
S48,W24,83.7
S48,W25,84.4
S48,W26,83.1
S49,W01,87.1
S49,W02,86.7
S49,W03,86.8
S49,W04,88.5
S49,W05,86.3
S49,W06,86.2
S49,W07,87
S49,W08,86.3
S49,W09,86.6
S49,W10,85.9
S49,W11,86.7
S49,W12,85.9
S49,W13,85.9
S49,W14,86.1
S49,W15,85.9
S49,W16,84.8
S49,W17,86.6
S49,W18,86
S49,W19,85.5
S49,W20,84.6
S49,W21,84.1
S49,W22,85.1
S49,W23,83.6
S49,W24,83.3
S49,W25,83.7
S49,W26,84.5
S50,W01,88.8
S50,W02,86.7
S50,W03,87.1
S50,W04,86.3
S50,W05,88
S50,W06,87.3
S50,W07,86.1
S50,W08,87.1
S50,W09,87.4
S50,W10,86
S50,W11,85.6
S50,W12,86.3
S50,W13,86.9
S50,W14,85.5
S50,W15,85.8
S50,W16,85.7
S50,W17,85.4
S50,W18,84.4
S50,W19,85.9
S50,W20,84.4
S50,W21,85.1
S50,W22,84
S50,W23,85.4
S50,W24,84.3
S50,W25,85.1
S50,W26,84.1
S51,W01,88.7
S51,W02,87
S51,W03,87.7
S51,W04,87
S51,W05,87
S51,W06,86.2
S51,W07,87.4
S51,W08,87.2
S51,W09,86.5
S51,W10,87.3
S51,W11,86.8
S51,W12,85.5
S51,W13,86.3
S51,W14,85.6
S51,W15,86.9
S51,W16,84.9
S51,W17,85.5
S51,W18,84.1
S51,W19,84.2
S51,W20,84.8
S51,W21,83.6
S51,W22,85.1
S51,W23,85.1
S51,W24,83.8
S51,W25,83.9
S51,W26,83.6
S52,W01,87
S52,W02,87.6
S52,W03,88.2
S52,W04,87.7
S52,W05,88.5
S52,W06,87.8
S52,W07,87.4
S52,W08,87
S52,W09,87.4
S52,W10,86.7
S52,W11,86.3
S52,W12,85.7
S52,W13,86.7
S52,W14,85
S52,W15,84.8
S52,W16,84.7
S52,W17,85.9
S52,W18,84.8
S52,W19,85.1
S52,W20,85.9
S52,W21,85.4
S52,W22,84.8
S52,W23,85.7
S52,W24,85.3
S52,W25,83.9
S52,W26,83
S53,W01,88.9
S53,W02,87.3
S53,W03,87.7
S53,W04,87.9
S53,W05,86.8
S53,W06,86.7
S53,W07,86.2
S53,W08,86.1
S53,W09,85.9
S53,W10,86.5
S53,W11,85.9
S53,W12,85.9
S53,W13,86.9
S53,W14,86.9
S53,W15,86.8
S53,W16,85.7
S53,W17,86
S53,W18,84.3
S53,W19,84.6
S53,W20,85.4
S53,W21,84.5
S53,W22,85.3
S53,W23,85
S53,W24,84.5
S53,W25,83.7
S53,W26,84.6
S54,W01,87.7
S54,W02,87.3
S54,W03,87.2
S54,W04,88.2
S54,W05,87.7
S54,W06,87.1
S54,W07,88.2
S54,W08,88
S54,W09,86.7
S54,W10,87.4
S54,W11,86.3
S54,W12,85.5
S54,W13,86.3
S54,W14,85.1
S54,W15,85.7
S54,W16,84.8
S54,W17,86.5
S54,W18,86.3
S54,W19,84.7
S54,W20,85.5
S54,W21,86
S54,W22,84.6
S54,W23,85.5
S54,W24,83.6
S54,W25,85.1
S54,W26,83.1
S55,W01,87.1
S55,W02,89
S55,W03,87.7
S55,W04,86.6
S55,W05,88.2
S55,W06,86.6
S55,W07,87.9
S55,W08,86.9
S55,W09,87.8
S55,W10,85.6
S55,W11,86
S55,W12,86.6
S55,W13,86
S55,W14,84.9
S55,W15,86.8
S55,W16,85
S55,W17,84.3
S55,W18,86.3
S55,W19,84.8
S55,W20,85.2
S55,W21,85.8
S55,W22,85.1
S55,W23,83.5
